index,minute,mv
748,1.2467,-11,
749,1.2483,-11,
750,1.25,-11,
751,1.2517,-11,
752,1.2533,-12,
753,1.255,-11,
754,1.2567,-12,
755,1.2583,-11,
756,1.26,-12,
757,1.2617,-11,
758,1.2633,-11,
759,1.265,-11,
760,1.2667,-12,
761,1.2683,-11,
762,1.27,-11,
763,1.2717,-11,
764,1.2733,-11,
765,1.275,-11,
766,1.2767,-10,
767,1.2783,-10,
768,1.28,-11,
769,1.2817,-10,
770,1.2833,-10,
771,1.285,-10,
772,1.2867,-10,
773,1.2883,-9,
774,1.29,-9,
775,1.2917,-8,
776,1.2933,-8,
777,1.295,-7,
778,1.2967,-6,
779,1.2983,-5,
780,1.3,-4,
781,1.3017,-4,
782,1.3033,-2,
783,1.305,0,
784,1.3067,1,
785,1.3083,2,
786,1.31,5,
787,1.3117,8,
788,1.3133,9,
789,1.315,13,
790,1.3167,15,
791,1.3183,19,
792,1.32,23,
793,1.3217,27,
794,1.3233,32,
795,1.325,38,
796,1.3267,43,
797,1.3283,50,
798,1.33,57,
799,1.3317,63,
800,1.3333,73,
801,1.335,80,
802,1.3367,91,
803,1.3383,102,
804,1.34,113,
805,1.3417,126,
806,1.3433,140,
807,1.345,153,
808,1.3467,170,
809,1.3483,186,
810,1.35,205,
811,1.3517,223,
812,1.3533,245,
813,1.355,268,
814,1.3567,291,
815,1.3583,316,
816,1.36,343,
817,1.3617,371,
818,1.3633,401,
819,1.365,432,
820,1.3667,466,
821,1.3683,500,
822,1.37,537,
823,1.3717,575,
824,1.3733,614,
825,1.375,656,
826,1.3767,699,
827,1.3783,743,
828,1.38,790,
829,1.3817,837,
830,1.3833,886,
831,1.385,938,
832,1.3867,989,
833,1.3883,1043,
834,1.39,1097,
835,1.3917,1152,
836,1.3933,1209,
837,1.395,1265,
838,1.3967,1323,
839,1.3983,1382,
840,1.4,1440,
841,1.4017,1499,
842,1.4033,1558,
843,1.405,1618,
844,1.4067,1677,
845,1.4083,1737,
846,1.41,1795,
847,1.4117,1854,
848,1.4133,1911,
849,1.415,1966,
850,1.4167,2023,
851,1.4183,2078,
852,1.42,2130,
853,1.4217,2181,
854,1.4233,2232,
855,1.425,2280,
856,1.4267,2326,
857,1.4283,2370,
858,1.43,2412,
859,1.4317,2452,
860,1.4333,2490,
861,1.435,2524,
862,1.4367,2557,
863,1.4383,2587,
864,1.44,2614,
865,1.4417,2639,
866,1.4433,2659,
867,1.445,2679,
868,1.4467,2695,
869,1.4483,2709,
870,1.45,2718,
871,1.4517,2725,
872,1.4533,2730,
873,1.455,2730,
874,1.4567,2729,
875,1.4583,2726,
876,1.46,2718,
877,1.4617,2709,
878,1.4633,2697,
879,1.465,2682,
880,1.4667,2664,
881,1.4683,2645,
882,1.47,2622,
883,1.4717,2598,
884,1.4733,2570,
885,1.475,2543,
886,1.4767,2512,
887,1.4783,2481,
888,1.48,2447,
889,1.4817,2411,
890,1.4833,2374,
891,1.485,2335,
892,1.4867,2296,
893,1.4883,2255,
894,1.49,2213,
895,1.4917,2172,
896,1.4933,2128,
897,1.495,2084,
898,1.4967,2039,
899,1.4983,1994,
900,1.5,1949,
901,1.5017,1903,
902,1.5033,1857,
903,1.505,1812,
904,1.5067,1766,
905,1.5083,1720,
906,1.51,1674,
907,1.5117,1629,
908,1.5133,1584,
909,1.515,1540,
910,1.5167,1495,
911,1.5183,1452,
912,1.52,1409,
913,1.5217,1367,
914,1.5233,1325,
915,1.525,1283,
916,1.5267,1244,
917,1.5283,1205,
918,1.53,1166,
919,1.5317,1128,
920,1.5333,1091,
921,1.535,1054,
922,1.5367,1019,
923,1.5383,985,
924,1.54,952,
925,1.5417,920,
926,1.5433,887,
927,1.545,856,
928,1.5467,827,
929,1.5483,798,
930,1.55,770,
931,1.5517,743,
932,1.5533,716,
933,1.555,690,
934,1.5567,666,
935,1.5583,641,
936,1.56,620,
937,1.5617,597,
938,1.5633,575,
939,1.565,555,
940,1.5667,535,
941,1.5683,516,
942,1.57,497,
943,1.5717,479,
944,1.5733,461,
945,1.575,446,
946,1.5767,429,
947,1.5783,415,
948,1.58,400,
949,1.5817,385,
950,1.5833,372,
951,1.585,359,
952,1.5867,347,
953,1.5883,334,
954,1.59,322,
955,1.5917,311,
956,1.5933,301,
957,1.595,290,
958,1.5967,280,
959,1.5983,270,
960,1.6,261,
961,1.6017,253,
962,1.6033,244,
963,1.605,236,
964,1.6067,228,
965,1.6083,220,
966,1.61,213,
967,1.6117,207,
968,1.6133,200,
969,1.615,192,
970,1.6167,187,
971,1.6183,181,
972,1.62,175,
973,1.6217,169,
974,1.6233,164,
975,1.625,159,
976,1.6267,155,
977,1.6283,149,
978,1.63,144,
979,1.6317,141,
980,1.6333,136,
981,1.635,133,
982,1.6367,128,
983,1.6383,125,
984,1.64,121,
985,1.6417,116,
986,1.6433,114,
987,1.645,110,
988,1.6467,107,
989,1.6483,104,
990,1.65,101,
991,1.6517,98,
992,1.6533,95,
993,1.655,93,
994,1.6567,90,
995,1.6583,88,
996,1.66,85,
997,1.6617,82,
998,1.6633,79,
999,1.665,78,
1000,1.6667,76,
1001,1.6683,74,
1002,1.67,72,
1003,1.6717,69,
1004,1.6733,68,
1005,1.675,65,
1006,1.6767,64,
1007,1.6783,62,
1008,1.68,60,
1009,1.6817,60,
1010,1.6833,57,
1011,1.685,56,
1012,1.6867,54,
1013,1.6883,53,
1014,1.69,52,
1015,1.6917,50,
1016,1.6933,48,
1017,1.695,48,
1018,1.6967,46,
1019,1.6983,44,
1020,1.7,43,
1021,1.7017,43,
1022,1.7033,41,
1023,1.705,41,
1024,1.7067,39,
1025,1.7083,38,
1026,1.71,38,
1027,1.7117,36,
1028,1.7133,35,
1029,1.715,34,
1030,1.7167,33,
1031,1.7183,32,
1032,1.72,31,
1033,1.7217,30,
1034,1.7233,30,
1035,1.725,28,
1036,1.7267,28,
1037,1.7283,28,
